,man_ratio_total
702,0.8333333333333334
703,0.25
704,0.5
705,1.0
706,0.6363636363636364
707,0.0
708,0.6666666666666666
709,1.0
710,1.0
711,1.0
712,1.0
713,1.0
714,1.0
715,1.0
716,0.8059701492537313
717,0.6027397260273972
718,0.45454545454545453
719,0.5116279069767442
720,0.25
721,0.2878787878787879
722,0.37254901960784315
723,0.7142857142857143
724,0.6274509803921569
725,0.5625
726,1.0
727,0.6129032258064516
728,0.6046511627906976
729,1.0
730,0.5038461538461538
731,0.5
732,0.7605633802816901
733,0.6842105263157895
734,0.2727272727272727
735,1.0
736,0.7304347826086957
737,0.24
738,0.9615384615384616
739,0.8
740,0.7741935483870968
741,1.0
742,0.23684210526315788
743,0.6363636363636364
744,0.5882352941176471
745,0.4782608695652174
746,0.5714285714285714
747,0.875
748,0.7307692307692307
749,1.0
750,0.9230769230769231
751,0.6153846153846154
752,0.0
753,1.0
754,1.0
755,1.0
756,0.75
757,1.0
758,1.0
759,0.6666666666666666
760,1.0
761,0.6666666666666666
762,0.6666666666666666
763,0.0
764,1.0
765,1.0
766,1.0
767,0.875
768,0.5
769,0.4375
770,1.0
771,1.0
772,0.3333333333333333
773,0.0
774,0.0
775,0.4
776,0.0
777,0.0
778,1.0
779,0.6666666666666666
780,1.0
781,1.0
782,1.0
783,1.0
784,0.4177215189873418
785,0.5136612021857924
786,0.8082191780821918
787,0.6875
788,0.18181818181818182
789,0.36
790,0.5283018867924528
791,1.0
792,0.4798387096774194
793,0.7272727272727273
794,0.526595744680851
795,0.4090909090909091
796,0.25806451612903225
797,0.11627906976744186
798,0.803030303030303
799,0.4166666666666667
800,0.6285714285714286
801,0.5
802,1.0
803,0.4430379746835443
804,0.1956521739130435
805,0.8
806,1.0
807,0.7391304347826086
808,0.5042016806722689
809,0.7647058823529411
810,1.0
811,0.15
812,0.42857142857142855
813,0.8
814,1.0
815,0.9069767441860465
816,1.0
817,0.5
818,1.0
819,0.4444444444444444
820,0.7692307692307693
821,0.625
822,0.42857142857142855
823,0.8888888888888888
824,0.9615384615384616
825,0.2
826,0.8333333333333334
827,1.0
828,0.0
829,1.0
830,0.6666666666666666
831,1.0
832,0.75
833,0.0
834,1.0
835,1.0
836,0.8571428571428571
837,0.6666666666666666
838,0.5
839,1.0
840,0.75
841,1.0
842,0.75
843,1.0
844,0.8
845,1.0
846,0.30434782608695654
847,1.0
848,0.625
849,0.8
850,0.0
851,0.6
852,1.0
853,0.0
854,0.6666666666666666
855,0.0
856,1.0
857,0.0
858,0.6050955414012739
859,0.47368421052631576
860,0.5033557046979866
861,0.5957446808510638
862,0.4230769230769231
863,0.3103448275862069
864,0.3541666666666667
865,1.0
866,0.5849056603773585
